# Program:featureCounts v1.6.3; Command:"featureCounts" "-s" "1" "--read2pos" "5" "-a" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/necessary_info/m38_p6/gencode.vM25.chr_patch_hapl_scaff.basic.annotation.gtf" "-o" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//counts/cpid_multireg_control_counts.txt" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam
ENSMUSG00000109707.1	chr7	13094992	13095397	+	406	0	0
ENSMUSG00000070816.3	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13097531;13097531;13097531;13101997;13104573;13119632;13119632;13119632	13103622;13102732;13103622;13102947;13104704;13119917;13119852;13119916	-;-;-;-;-;-;-;-	6510	0	0
ENSMUSG00000070815.3	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13130904;13130904;13130904;13131471;13133887;13139879;13140037;13140037	13132617;13132617;13132617;13132358;13137370;13140157;13140157;13140157	-;-;-;-;-;-;-;-	5477	0	0
ENSMUSG00000109830.1	chr7	13150477	13151581	-	1105	0	1
ENSMUSG00000117853.1	chr7;chr7;chr7;chr7;chr7;chr7	13159568;13159568;13170202;13177199;13177199;13177719	13159782;13159782;13170438;13185864;13185864;13178669	+;+;+;+;+;+	9118	0	0
ENSMUSG00000048261.6	chr7	13178903	13180174	+	1272	0	0
ENSMUSG00000110365.1	chr7;chr7;chr7	13192117;13196582;13196936	13194437;13196700;13197215	-;-;-	2720	0	0
ENSMUSG00000109911.1	chr7;chr7	13196629;13198591	13196896;13198711	+;+	389	0	0
ENSMUSG00000095629.2	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13213020;13213020;13213020;13213020;13213020;13213020;13213020;13213599;13213599;13213599;13216836;13216836;13218964;13218964;13219339;13219608;13219608;13219971	13213317;13213317;13213317;13213317;13213317;13213317;13213317;13213667;13213667;13213667;13220657;13220657;13220657;13220657;13220289;13220657;13220657;13220657	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4189	0	0
ENSMUSG00000092427.1	chr7	13244162	13244362	+	201	0	0
ENSMUSG00000070814.15	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13258967;13258967;13258968;13260900;13269335;13269335;13269534;13277146;13277146;13277146;13278644;13278644	13261640;13261640;13260898;13261640;13269647;13269647;13269647;13277428;13277428;13278144;13278683;13278721	-;-;-;-;-;-;-;-;-;-;-;-	4064	69	88
ENSMUSG00000056394.17	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13277313;13278826;13279265;13280148;13280148;13280148;13282453;13282453;13282453;13285257;13285257;13285257;13286558;13286558;13286558;13288664;13288664;13288664;13289394;13289394;13289394;13291187;13291187;13291187;13291456;13291456;13291456;13292139;13292139;13292139;13292459;13292459;13292459;13295382;13295382;13295382;13296228;13296228;13296228;13296720;13296720;13296720;13298737;13298737;13298737;13299040;13299040;13299040;13300262;13300262;13300262;13300931;13300931;13300931;13301384;13301384;13301384;13303184;13303184;13303184;13303800;13303800;13303800;13305910;13305910;13305910;13305926;13305926;13305926;13306213;13306213;13306213;13307519;13307519;13307519;13308471;13308471;13308471;13309113;13309113;13309113;13311009;13311009;13311009;13311196;13311196;13311196	13277529;13278959;13279473;13280221;13280221;13280221;13282542;13282542;13282542;13285392;13285392;13285392;13286684;13286684;13286684;13288759;13288759;13288759;13289495;13289495;13289495;13291312;13291312;13291312;13291531;13291531;13291531;13292219;13292219;13292219;13292515;13292515;13292515;13295554;13295554;13295554;13296394;13296394;13296394;13296796;13296796;13296796;13298828;13298828;13298828;13299139;13299139;13299139;13300347;13300347;13300347;13301046;13301046;13301046;13301479;13301479;13301479;13303294;13303294;13303294;13303871;13303871;13303871;13305924;13305924;13305924;13306055;13306055;13306055;13306295;13306295;13306295;13307671;13307671;13307671;13308524;13308524;13308524;13309256;13309256;13309256;13311101;13311101;13311101;13311425;13311425;13311425	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3517	79	124
ENSMUSG00000033847.15	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13324655;13325629;13325667;13329318;13329648;13329648;13329648;13329971;13329971;13329971;13335193;13335193;13335193;13337737;13337737;13337737;13339601;13339601;13339601;13340613;13340613;13340613;13342391;13342391;13342391;13343373;13343373;13343373;13343891;13343891;13343891;13344437;13344437;13344437;13345997;13345997;13345997;13348214;13348214;13348214;13356176;13356176;13356176;13357026;13357026;13357026;13359185;13359185;13359185	13324698;13325777;13325777;13329416;13329762;13329762;13329762;13330107;13330107;13330107;13335382;13335382;13335382;13337857;13337857;13337857;13339741;13339741;13339741;13340666;13340666;13340666;13342432;13342432;13342432;13343516;13343516;13343516;13344040;13344040;13344040;13344532;13344532;13344532;13346151;13346151;13346151;13348385;13348385;13348385;13356326;13356326;13356326;13357152;13357152;13357152;13360672;13360668;13359350	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3575	0	0
ENSMUSG00000074547.4	chr7	13332646	13333257	-	612	1	0
ENSMUSG00000087915.1	chr7	13338830	13339109	+	280	0	0
ENSMUSG00000108293.1	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13361111;13371098;13371567;13373301;13375270;13376667;13378653;13379134;13379449;13380074;13380770;13383130;13385232;13386627	13361118;13371239;13371619;13373391;13375409;13376721;13378795;13379248;13379479;13380113;13380923;13383301;13385382;13386695	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1364	0	0
ENSMUSG00000109929.1	chr7	13364707	13365076	-	370	0	0
ENSMUSG00000088361.1	chr7	13374481	13374748	+	268	0	0
ENSMUSG00000005649.17	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13398132;13398295;13400705;13400705;13401231;13401231;13403308;13403308;13405400;13405400;13407783	13398370;13398370;13400735;13400735;13401374;13401374;13403417;13403417;13405547;13406296;13408887	+;+;+;+;+;+;+;+;+;+;+	2526	0	0
ENSMUSG00000107945.1	chr7	13439503	13440292	-	790	0	2
ENSMUSG00000074378.5	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13450841;13450856;13458255;13458255;13470299;13472136;13472136;13472957;13472957	13450986;13450986;13458275;13458275;13470328;13472267;13472267;13473449;13473379	+;+;+;+;+;+;+;+;+	822	0	0
ENSMUSG00000107687.1	chr7	13480749	13481070	+	322	0	0
ENSMUSG00000098644.1	chr7;chr7	13525633;13525932	13525736;13526068	+;+	241	0	0
ENSMUSG00000078800.5	chr7;chr7;chr7;chr7;chr7	13554864;13556347;13556712;13561332;13570982	13554987;13556494;13556852;13561364;13571067	-;-;-;-;-	532	0	0
ENSMUSG00000078799.5	chr7;chr7;chr7;chr7;chr7;chr7	13623967;13625237;13628715;13662462;13665037;13670585	13624180;13625445;13628841;13662556;13665214;13670807	+;+;+;+;+;+	1046	0	0
ENSMUSG00000101532.1	chr7	13639107	13642572	+	3466	0	0
ENSMUSG00000099400.1	chr7	13653996	13657428	+	3433	0	0
ENSMUSG00000100468.1	chr7	13719693	13719906	-	214	0	0
ENSMUSG00000082586.2	chr7;chr7	13721079;13722332	13721285;13722465	-;-	341	0	0
ENSMUSG00000070811.6	chr7;chr7;chr7;chr7	13733505;13734747;13738225;13779422	13733694;13734955;13738351;13779636	+;+;+;+	741	0	0
ENSMUSG00000099901.1	chr7	13752831	13756278	+	3448	0	0
ENSMUSG00000078798.4	chr7;chr7;chr7;chr7;chr7;chr7	13796246;13801382;13804030;13832577;13835961;13837221	13796467;13801559;13804124;13832703;13836169;13837409	-;-;-;-;-;-	1020	0	0
ENSMUSG00000100660.1	chr7	13813443	13815042	-	1600	0	0
ENSMUSG00000081982.5	chr7;chr7	13846161;13847348	13846296;13847616	+;+	405	0	0
ENSMUSG00000100566.1	chr7	13848729	13848942	+	214	0	0
ENSMUSG00000074377.12	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	13909676;13909677;13915138;13915138;13931673;13931673;13984848;13984848;13988197;13988197;13989456;13989456	13909898;13909898;13915315;13915315;13931767;13931767;13984974;13984974;13988405;13988405;13989607;13989588	-;-;-;-;-;-;-;-;-;-;-;-	984	0	0
ENSMUSG00000099596.1	chr7	13962972	13966215	-	3244	0	0
ENSMUSG00000099744.1	chr7	14006658	14006835	+	178	0	0
ENSMUSG00000074375.3	chr7;chr7;chr7;chr7;chr7;chr7	14067446;14073011;14082685;14111461;14121585;14122858	14067667;14073188;14082779;14111587;14121793;14123044	-;-;-;-;-;-	1018	0	0
ENSMUSG00000084102.2	chr7;chr7;chr7	14135422;14139486;14140889	14135548;14139670;14141004	-;-;-	428	0	0
ENSMUSG00000080705.1	chr7;chr7;chr7	14171636;14174532;14193430	14171747;14174710;14193524	-;-;-	386	0	0
ENSMUSG00000100378.1	chr7	14186628	14187081	-	454	0	0
ENSMUSG00000070810.10	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	14222403;14222411;14225862;14236603;14236603;14250332;14253404;14253404;14254698;14254698	14222589;14222589;14226039;14236697;14236697;14250458;14253612;14253612;14254870;14254870	-;-;-;-;-;-;-;-;-;-	969	0	0
ENSMUSG00000098354.1	chr7	14226673	14228833	-	2161	1	0
ENSMUSG00000098506.2	chr7	14304780	14307665	+	2886	0	1
ENSMUSG00000099216.1	chr7;chr7;chr7	14331436;14332620;14333522	14332093;14333092;14333557	-;-;-	1167	0	0
ENSMUSG00000098782.2	chr7	14342026	14342330	-	305	0	0
ENSMUSG00000107673.1	chr7;chr7	14366951;14370081	14367583;14370207	-;-	760	0	0
ENSMUSG00000030378.15	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	14410686;14410689;14413629;14413629;14416218;14416218;14423437;14423437;14425348;14425348;14427784;14427784;14438456;14446442	14411819;14411819;14413797;14413797;14416312;14416312;14423563;14423563;14425556;14425556;14428050;14428050;14438551;14446586	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2242	0	0
ENSMUSG00000094156.2	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	14465051;14465054;14465159;14465159;14470008;14470008;14473347;14473347;14477026;14477026;14477026;14477026;14490026;14490026;14490026;14490026;14491718;14491718;14491718;14491718;14492839;14492839;14492839;14494013	14465271;14465271;14465271;14465271;14470184;14470184;14473434;14473434;14477120;14477120;14477120;14477120;14490152;14490152;14490152;14490152;14491926;14491926;14491926;14491926;14492971;14492926;14492981;14494230	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1278	0	0
ENSMUSG00000098290.1	chr7	14517971	14518670	-	700	0	0
ENSMUSG00000098741.1	chr7	14529625	14530066	-	442	0	0
ENSMUSG00000041596.12	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	14530652;14563292;14563299;14578736;14578736;14580934;14580934;14582992;14582992;14586618;14586618;14592646;14592646;14598275;14598275;14603140;14603140;14606566;14607240;14607240;14609262;14609262;14622307	14531013;14563353;14563353;14578906;14578906;14581104;14581104;14583162;14583162;14586788;14586788;14592813;14592813;14598451;14598451;14603190;14603190;14606642;14607320;14607320;14609339;14609339;14622479	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1913	0	0
ENSMUSG00000099242.1	chr7	14548714	14549233	+	520	0	0
ENSMUSG00000100586.2	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	14555474;14555474;14555474;14555474;14555474;14555474;14555474;14555474;14563292;14563292;14563292;14563292;14563292;14563292;14563292;14563292	14562276;14562159;14561932;14563054;14562620;14562402;14562443;14562359;14563506;14563506;14563506;14563506;14563506;14563506;14563506;14563506	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7796	4	0
ENSMUSG00000099055.1	chr7	14566761	14567238	+	478	0	0
ENSMUSG00000098520.1	chr7	14616384	14616786	+	403	0	0
ENSMUSG00000093773.1	chr7;chr7	14634039;14634376	14634250;14634573	+;+	410	0	2
ENSMUSG00000055942.13	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	14659496;14659733;14663992;14663992;14664380;14664380;14665268;14665268	14659780;14659847;14664253;14664253;14664579;14664579;14665996;14665996	+;+;+;+;+;+;+;+	1543	0	0
ENSMUSG00000093665.2	chr7;chr7;chr7	14694074;14695134;14695460	14694653;14695333;14695674	-;-;-	995	0	0
ENSMUSG00000105566.1	chr7	14713201	14713597	-	397	0	0
ENSMUSG00000098330.1	chr7	14724656	14724904	-	249	0	0
ENSMUSG00000098508.1	chr7	14756555	14756924	-	370	0	0
ENSMUSG00000093549.2	chr7	14767725	14768447	+	723	0	0
ENSMUSG00000093664.2	chr7	14778015	14778290	+	276	0	0
ENSMUSG00000064977.1	chr7	14778669	14778772	+	104	0	0
ENSMUSG00000093584.1	chr7;chr7;chr7	14800224;14801285;14801611	14800811;14801484;14801826	-;-;-	1004	0	0
ENSMUSG00000106552.1	chr7	14813268	14813664	-	397	0	0
ENSMUSG00000098309.1	chr7	14837774	14838029	-	256	0	0
ENSMUSG00000098564.1	chr7	14856953	14857340	-	388	0	0
ENSMUSG00000093736.1	chr7	14867592	14868315	+	724	0	0
ENSMUSG00000099198.1	chr7	14887535	14888162	+	628	0	0
ENSMUSG00000098469.1	chr7	14893847	14894231	-	385	0	0
ENSMUSG00000094555.1	chr7	14905458	14906181	+	724	0	0
ENSMUSG00000095998.1	chr7	14912358	14912462	+	105	0	0
ENSMUSG00000093509.1	chr7;chr7;chr7	14931636;14932696;14933022	14932222;14932895;14933238	-;-;-	1004	0	0
ENSMUSG00000105505.1	chr7	14947537	14948041	-	505	0	0
ENSMUSG00000099056.1	chr7;chr7	14965334;14965586	14965432;14965622	-;-	136	0	0
ENSMUSG00000099087.1	chr7	14991920	14992298	-	379	0	0
ENSMUSG00000093567.1	chr7	15007074	15007787	+	714	0	0
ENSMUSG00000093707.1	chr7;chr7;chr7	15023991;15024332;15024978	15024205;15024531;15025698	+;+;+	1136	0	0
ENSMUSG00000093770.1	chr7;chr7;chr7	15056199;15057262;15057588	15056786;15057461;15057804	-;-;-	1005	0	0
ENSMUSG00000105094.1	chr7	15075265	15075768	-	504	0	0
ENSMUSG00000098382.1	chr7	15086769	15087026	-	258	0	0
ENSMUSG00000099298.1	chr7	15118004	15118384	-	381	0	0
ENSMUSG00000094416.1	chr7	15129168	15129891	+	724	0	0
ENSMUSG00000095952.1	chr7;chr7;chr7	15139546;15139889;15140540	15139762;15140088;15141484	+;+;+	1362	0	0
ENSMUSG00000095974.1	chr7;chr7;chr7	15150915;15151257;15151908	15151130;15151456;15152628	+;+;+	1137	0	0
ENSMUSG00000093623.1	chr7;chr7;chr7	15162246;15162587;15163238	15162460;15162786;15163949	+;+;+	1127	0	0
ENSMUSG00000096414.1	chr7;chr7;chr7	15173325;15173668;15174319	15173541;15173867;15175041	+;+;+	1140	0	0
ENSMUSG00000094412.1	chr7;chr7;chr7	15184668;15185009;15185660	15184882;15185208;15186381	+;+;+	1137	0	0
ENSMUSG00000093961.1	chr7;chr7;chr7	15195981;15196322;15196973	15196195;15196521;15197694	+;+;+	1137	0	0
ENSMUSG00000094967.1	chr7;chr7;chr7	15207312;15207653;15208304	15207526;15207852;15209025	+;+;+	1137	0	0
ENSMUSG00000093940.1	chr7;chr7;chr7	15218640;15218983;15219634	15218856;15219182;15220356	+;+;+	1140	0	0
ENSMUSG00000096797.1	chr7;chr7;chr7	15229944;15230287;15230938	15230160;15230486;15231660	+;+;+	1140	0	0
ENSMUSG00000095922.1	chr7;chr7;chr7	15241272;15241615;15242266	15241488;15241814;15242988	+;+;+	1140	0	0
ENSMUSG00000094243.1	chr7;chr7;chr7	15252612;15252954;15253605	15252827;15253153;15254325	+;+;+	1137	0	0
ENSMUSG00000096439.1	chr7;chr7;chr7	15263943;15264285;15264936	15264158;15264484;15265656	+;+;+	1137	0	0
ENSMUSG00000098404.1	chr7	15288251	15289190	-	940	0	0
ENSMUSG00000093727.1	chr7;chr7;chr7	15293949;15295008;15295334	15294536;15295207;15295548	-;-;-	1003	0	0
ENSMUSG00000106582.1	chr7;chr7	15307039;15307929	15307452;15308054	-;-	540	0	0
ENSMUSG00000098561.1	chr7	15319972	15320260	-	289	0	0
ENSMUSG00000106616.1	chr7	15333435	15333644	-	210	0	0
ENSMUSG00000093554.1	chr7	15343518	15344241	+	724	0	0
ENSMUSG00000098744.1	chr7	15369746	15370129	-	384	0	0
ENSMUSG00000074369.12	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	15388721;15388968;15388993;15389137;15390176;15396800;15396800;15396800;15396800;15397188;15397188;15397188;15397188;15397834;15397834;15397834;15397834	15389006;15389006;15389073;15389195;15390236;15397061;15397061;15397061;15397061;15397386;15397386;15397386;15397386;15398129;15398056;15398125;15398545	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1646	0	0
ENSMUSG00000054310.16	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	15388948;15512340;15546982;15547277;15547302;15547446;15555117;15555117;15555117;15555117;15555117;15555505;15555505;15555505;15555505;15555505;15556151;15556151;15556151;15556151;15556151	15389006;15512402;15547315;15547315;15547382;15547504;15555378;15555378;15555378;15555378;15555378;15555704;15555704;15555704;15555704;15555704;15556442;15556373;15556866;15556446;15556846	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1760	0	0
ENSMUSG00000098278.1	chr7	15408520	15408864	-	345	0	0
ENSMUSG00000095274.1	chr7;chr7;chr7	15431662;15432005;15432656	15431878;15432204;15433600	+;+;+	1362	0	0
ENSMUSG00000093913.1	chr7;chr7;chr7	15442998;15443341;15443992	15443214;15443540;15444936	+;+;+	1362	0	0
ENSMUSG00000093397.1	chr7;chr7;chr7	15454323;15454665;15455316	15454538;15454864;15456033	+;+;+	1134	0	0
ENSMUSG00000066772.12	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	15479825;15625302;15625306;15625694;15625717;15626796;15626796;15626796;15626796;15627122;15627122;15627122;15627122;15639389;15639730;15639730	15480127;15626325;15626325;15626325;15626325;15626995;15626995;15626995;15626995;15627383;15627383;15627876;15627876;15639461;15639902;15639777	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2528	0	0
ENSMUSG00000093421.1	chr7;chr7;chr7	15480174;15481237;15481563	15480759;15481436;15481781	-;-;-	1005	0	0
ENSMUSG00000093719.1	chr7	15501822	15502769	+	948	0	0
ENSMUSG00000098861.1	chr7	15528046	15528427	-	382	0	0
ENSMUSG00000098386.1	chr7	15566485	15566869	-	385	0	0
ENSMUSG00000093513.1	chr7;chr7;chr7	15589653;15589995;15590640	15589868;15590194;15591360	+;+;+	1137	0	0
ENSMUSG00000096381.1	chr7	15593231	15593335	+	105	0	0
ENSMUSG00000105898.1	chr7;chr7	15642188;15643082	15642597;15643208	-;-	537	0	0
ENSMUSG00000106346.2	chr7	15653333	15653624	-	292	0	0
ENSMUSG00000093420.1	chr7;chr7;chr7	15691650;15691992;15692638	15691865;15692191;15693360	+;+;+	1139	0	0
ENSMUSG00000095116.1	chr7	15695213	15695317	+	105	0	0
ENSMUSG00000093683.2	chr7	15719663	15720182	+	520	0	0
ENSMUSG00000105314.1	chr7	15725926	15726312	-	387	0	0
ENSMUSG00000074366.9	chr7;chr7;chr7;chr7	15750377;15757492;15757879;15758539	15750483;15757753;15758078;15759800	+;+;+;+	1831	0	0
ENSMUSG00000104759.2	chr7	15766814	15767199	-	386	0	0
ENSMUSG00000105410.1	chr7	15787864	15788160	-	297	0	0
ENSMUSG00000092576.3	chr7;chr7	15820167;15825571	15820601;15825815	-;-	680	0	0
ENSMUSG00000041583.8	chr7;chr7;chr7	15833241;15834380;15839631	15833950;15834965;15839678	-;-;-	1344	0	0
ENSMUSG00000041578.15	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	15865947;15865948;15867226;15869343;15869343;15869390;15871144;15871144;15871144;15872274;15879816;15879816	15868427;15868427;15868427;15869494;15869494;15869494;15871276;15871276;15871276;15872388;15879844;15879968	-;-;-;-;-;-;-;-;-;-;-;-	3034	0	0
ENSMUSG00000074365.13	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	15882617;15883519;15890595;15896124;15896171;15897404;15897404;15897404;15898445;15898445;15898445;15901646;15902850;15902850;15903700;15903700	15882784;15883543;15890649;15896257;15896257;15897552;15897552;15897552;15900298;15900293;15898616;15901737;15903007;15903007;15904020;15904020	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2956	0	0
ENSMUSG00000106050.1	chr7;chr7	15906688;15907455	15907255;15907647	+;+	761	0	0
ENSMUSG00000041571.9	chr7;chr7;chr7;chr7;chr7;chr7	15917208;15919848;15920043;15920305;15920449;15922252	15917539;15919946;15920117;15920358;15920473;15922402	-;-;-;-;-;-	736	6557	9048
ENSMUSG00000041560.12	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	15936183;15938174;15938352;15938911;15939089;15939454;15939729;15940138;15941740;15942175;15942789;15945290;15945830	15937889;15938230;15938428;15938977;15939264;15939654;15939833;15940233;15941810;15942374;15942897;15945354;15946074	-;-;-;-;-;-;-;-;-;-;-;-;-	3176	711	1181
ENSMUSG00000080478.1	chr7	15938762	15938870	-	109	0	0
ENSMUSG00000093249.2	chr7	15946248	15946495	+	248	0	0
ENSMUSG00000074364.6	chr7;chr7;chr7;chr7;chr7;chr7	15946958;15952066;15957491;15963380;15963907;15967420	15950792;15952230;15957903;15963477;15964366;15967567	-;-;-;-;-;-	5119	6	5
ENSMUSG00000070808.4	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	15970672;15971262;15975083;15975083;15975366;15975366;15975665;15975665;15977051;15977051;15978689;15978689;15979015;15979015;15979351;15979351;15986913;15986913;15987479;15987479;15993080;15993080;15996401;15996401;15996551;15996551;15999394;15999394;16047896	15972889;15972889;15975185;15975185;15975460;15975460;15975813;15975813;15977112;15977112;15978798;15978798;15979195;15979195;15979986;15979986;15987089;15987089;15989440;15989440;15993145;15993145;15996443;15996443;15996596;15996596;15999495;15999494;16047921	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5976	68	107
ENSMUSG00000109984.1	chr7;chr7;chr7;chr7	15971883;15980743;15982253;15984485	15971970;15980938;15982486;15984654	+;+;+;+	688	0	0
ENSMUSG00000078796.4	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	16061814;16062895;16071845;16071921;16071942;16076347;16076347;16076347;16077972;16077972;16077972;16081678;16081678;16081678;16082052;16082052;16082052;16082510;16082510;16082999;16082999;16083221;16083221;16083254;16089797;16089797;16089797;16090360;16090360;16090360;16090808;16090808;16090808;16092286;16092286;16092286;16092839;16092839;16092839;16095142;16095142;16095142;16095420;16095420;16095420;16095691;16095691;16095691	16061878;16063044;16072248;16072248;16072248;16076587;16076587;16076587;16079826;16079826;16079826;16081736;16081736;16081736;16082238;16082211;16082238;16082570;16082570;16083060;16083060;16083572;16083572;16083572;16089860;16089860;16089860;16090502;16090502;16090502;16090911;16090911;16090911;16092361;16092361;16092361;16092927;16092927;16092927;16095282;16095282;16095282;16095601;16095601;16095601;16096328;16096013;16096334	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4879	7	4
ENSMUSG00000006024.13	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	16098458;16107553;16109051;16112584;16113112;16113350;16113476;16114121;16115203;16115600;16116464	16098774;16107632;16109167;16112630;16113189;16113405;16113560;16114225;16115271;16115650;16117975	+;+;+;+;+;+;+;+;+;+;+	2517	1920	2949
ENSMUSG00000006021.5	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	16119895;16120490;16120712;16120870;16123035;16123200;16123772;16123955;16124717;16125713;16125937;16127118	16120181;16120572;16120796;16120924;16123110;16123273;16123881;16124032;16124792;16125848;16126107;16127516	+;+;+;+;+;+;+;+;+;+;+;+	1630	152	297
